Category,Name,Price
"Thịt, cá, tôm, trứng",Ếch tươi nguyên con làm sạch 500g,70500
"Thịt, cá, tôm, trứng",Thịt heo xay nhuyễn G khay 300g,52000
"Thịt, cá, tôm, trứng",Thịt vai heo tươi G khay 300g,51500
"Thịt, cá, tôm, trứng",Thịt đùi heo tươi G khay 300g,51500
"Thịt, cá, tôm, trứng",Thịt bắp giò heo C.P khay 300g,47000
"Thịt, cá, tôm, trứng",Cá hồi tươi cắt khúc khay 250g,128000
"Thịt, cá, tôm, trứng",Cá diêu hồng làm sạch khay 1kg,110000
"Thịt, cá, tôm, trứng",Thịt ba rọi heo tươi C.P khay 500g,96000
"Thịt, cá, tôm, trứng",Sườn non heo G 300g (2-4 miếng),94000
"Thịt, cá, tôm, trứng",Dựng heo (móng giò) G khay 500g,90000
"Thịt, cá, tôm, trứng",Mực ống tươi làm sạch khay 300g,87000
"Thịt, cá, tôm, trứng",Đuôi heo C.P tươi cắt khúc 500g,86000
"Thịt, cá, tôm, trứng",Thịt heo xay sẵn C.P khay 500g,84000
"Thịt, cá, tôm, trứng",Nạc dăm heo tươi C.P khay 500g,82000
"Thịt, cá, tôm, trứng",Sườn cốt lết heo C.P khay 500g,80000
"Thịt, cá, tôm, trứng",Thịt đùi heo tươi C.P khay 500g,80000
"Thịt, cá, tôm, trứng",Móng giò heo trước CP khay 500g,74000
"Thịt, cá, tôm, trứng",Xương cổ heo G 500g (4-6 miếng),72000
"Thịt, cá, tôm, trứng",Xương ống heo G 500g (3-4 cái),67000
"Thịt, cá, tôm, trứng",Chân giò heo trước C.P khay 500g,65000
"Thịt, cá, tôm, trứng",Nạc giòn heo (nọng heo) CP 300g,65000
"Thịt, cá, tôm, trứng",Chân giò heo sau C.P khay 500g,65000
"Thịt, cá, tôm, trứng",Thịt ba rọi heo (ba chỉ) G 300g,64500
"Thịt, cá, tôm, trứng",Thịt nạc dăm heo G khay 300g,63000
"Thịt, cá, tôm, trứng",Tôm thẻ nguyên con khay 300g,60500
"Thịt, cá, tôm, trứng",Thịt thăn heo C.P tươi khay 300g,54000
"Thịt, cá, tôm, trứng",Xương ống heo C.P tươi khay 500g,51000
"Thịt, cá, tôm, trứng",Cốt lết heo có xương G khay 300g,50000
"Thịt, cá, tôm, trứng",Thịt heo xay sẵn C.P khay 300g,50000
"Thịt, cá, tôm, trứng",Nạc dăm heo tươi C.P khay 300g,49000
"Thịt, cá, tôm, trứng",Thịt đùi heo tươi C.P khay 300g,48000
"Thịt, cá, tôm, trứng",Sườn cốt lết heo C.P khay 300g,48000
"Thịt, cá, tôm, trứng",Thịt nạc vai heo C.P khay 300g,45000
"Thịt, cá, tôm, trứng",Mề gà tươi sạch CP khay 500g,44500
"Thịt, cá, tôm, trứng",Đùi cánh gà tươi CP khay 500g,44000
"Thịt, cá, tôm, trứng",Thịt vai heo C.P tươi khay 300g,41500
"Thịt, cá, tôm, trứng",Chân gà tươi sạch C.P khay 500g,35000
"Thịt, cá, tôm, trứng",Lòng gà tươi sạch CP khay 500g,33500
"Thịt, cá, tôm, trứng",Cá cơm con nhỏ làm sạch khay 100g,16500
"Thịt, cá, tôm, trứng",Ức gà tươi phi lê CP khay 500g,43500
"Thịt, cá, tôm, trứng",Ba rọi heo rút sườn C.P khay 500g,123000
"Thịt, cá, tôm, trứng",Bít tết đùi bò Úc Pacow khay 250g,109000
"Thịt, cá, tôm, trứng",Dẻ sườn bò Úc Pacow khay 250g,109000
"Thịt, cá, tôm, trứng",Thịt bò tái Úc Pacow khay 250g,109000
"Thịt, cá, tôm, trứng",Bò Úc cắt khối lúc lắc Pacow 250g,102000
"Thịt, cá, tôm, trứng",Thịt bò Úc xào Pacow khay 250g,99000
"Thịt, cá, tôm, trứng",Thịt ba chỉ bò Úc Pacow khay 250g,98000
"Thịt, cá, tôm, trứng",Thịt cổ bò Úc Pacow khay 250g,87000
"Thịt, cá, tôm, trứng",Ba rọi heo rút sườn G khay 300g,86000
"Thịt, cá, tôm, trứng",Sườn già heo C.P tươi khay 500g,83000
"Thịt, cá, tôm, trứng",Cá ngân tươi nguyên con khay 300g,81000
"Thịt, cá, tôm, trứng",Ba rọi heo rút sườn C.P khay 300g,74000
"Thịt, cá, tôm, trứng",Xương đuôi heo G 500g (4-6 miếng),72500
"Thịt, cá, tôm, trứng",Sườn già heo G 300g (2-4 miếng),59000
"Thịt, cá, tôm, trứng",Lườn cá hồi làm sạch khay 250g,41500
"Thịt, cá, tôm, trứng",10 trứng gà ta tươi sạch T.Food,39500
"Thịt, cá, tôm, trứng",Xương que heo nhập khẩu túi 500g,38000
"Thịt, cá, tôm, trứng",Hộp 30 trứng cút tươi sạch TFood,21500
"Thịt, cá, tôm, trứng",Thịt hến tươi làm sạch khay 100g,14700
"Thịt, cá, tôm, trứng",Gói 2 trứng vịt kho ăn liền V.Food,9000
"Rau củ, rau nêm",Rau dền xanh (dền cơm) túi 500g,17000
"Rau củ, rau nêm",Rau bồ ngót tươi xanh gói 250g,14500
"Rau củ, rau nêm",Rau cải thìa tươi xanh gói 300g,10300
"Rau củ, rau nêm",Rau tía tô non tươi xanh túi 50g,7500
"Rau củ, rau nêm",Rau diếp cá non tươi túi 50g,7500
"Rau củ, rau nêm",Rau húng quế tươi xanh túi 50g,6300
"Rau củ, rau nêm",Nấm bào ngư trắng túi 300g,21500
"Rau củ, rau nêm",Rau lang tươi nguyên bó gói 500g,14800
"Rau củ, rau nêm",Rau cần tây tươi xanh gói 200g,14700
"Rau củ, rau nêm",Nấm kim châm Hàn Quốc túi 150g,12500
"Rau củ, rau nêm",Nấm linh chi nâu tươi hộp 150g,32500
"Rau củ, rau nêm",Rau muống nước baby tươi túi 300g,22500
"Rau củ, rau nêm","Hành, ngò, ớt hiểm tươi túi 50g",5600
"Rau củ, rau nêm",Nấm linh chi trắng hộp 150g,34000
"Rau củ, rau nêm",Nấm bào ngư xám tươi túi 300g,30000
"Rau củ, rau nêm",Nấm hải sản Việt Nam tươi túi 150g,25000
"Rau củ, rau nêm",Xà lách búp mỡ thuỷ canh túi 300g,20000
"Rau củ, rau nêm",Rau cải ngồng baby tươi túi 300g,15000
"Rau củ, rau nêm","Ngò gai, rau om tươi túi 50g",5000
"Rau củ, rau nêm",Hành lá tươi xanh túi nhỏ 50g,5000
"Rau củ, rau nêm",Xà lách lô lô tươi thuỷ canh 300g,18800
"Rau củ, rau nêm",Nấm mỡ nâu Yoshi tươi hộp 150g,69000
"Rau củ, rau nêm",Nấm mỡ trắng Yoshi tươi hộp 150g,56500
"Rau củ, rau nêm",Khoai mỡ tím túi lưới 1kg (1-2 củ),47000
"Rau củ, rau nêm",Khoai lang mật dẻo ngọt túi 1kg,33000
"Rau củ, rau nêm",Khoai lang Nhật dẻo ngọt túi 1kg,28000
"Rau củ, rau nêm",Ớt chuông xanh túi 300g (2-3 trái),26500
"Rau củ, rau nêm",Bắp cải tím túi 500g (1-2 bắp),25500
"Rau củ, rau nêm",Khoai môn dẻo túi 500g (2-3 củ),25000
"Rau củ, rau nêm",Bí đỏ hồ lô túi 700g (0.5-1 trái),23000
"Rau củ, rau nêm",Dưa leo baby giòn ngọt khay 500g,23000
"Rau củ, rau nêm",Hành tây Đà Lạt túi 500g (2-4 củ),19000
"Rau củ, rau nêm",Rau cải ngọt baby tươi xanh 300g,18800
"Rau củ, rau nêm",Bắp cải trái tim 500g (1-2 bắp),18800
"Rau củ, rau nêm",Rau cải bẹ xanh baby tươi túi 300g,18800
"Rau củ, rau nêm",Rau dền baby tươi xanh túi 300g,18800
"Rau củ, rau nêm",Bắp Mỹ tươi 2 trái siêu giòn ngọt,17500
"Rau củ, rau nêm",Bắp non siêu giòn ngọt khay 200g,16300
"Rau củ, rau nêm",Đậu rồng trái giòn ngọt túi 300g,16300
"Rau củ, rau nêm",Khoai tây tươi túi 500g (4-6 củ),15000
"Rau củ, rau nêm",Rau cải ngọt tươi xanh gói 500g,15000
"Rau củ, rau nêm",Củ su hào xanh tươi túi 300g,15000
"Rau củ, rau nêm",Bí đỏ tròn cắt miếng túi 500gr,14800
"Rau củ, rau nêm",Mướp hương tươi 500g (2-4 trái),14800
"Rau củ, rau nêm",Bầu sao nguyên trái túi 500g,11300
"Rau củ, rau nêm",Rau muống nước tươi túi 500g,11000
"Rau củ, rau nêm",Bắp cải trắng tươi giòn túi 500g,11000
"Rau củ, rau nêm",Ớt hiểm nguyên trái túi 50g,11000
"Rau củ, rau nêm",Chanh tươi không hạt túi 200g,10500
"Rau củ, rau nêm",Bí đao (bí xanh) 500g (2-3 trái),10000
"Rau củ, rau nêm",Tắc (quất) nguyên trái gói 100g,9700
"Rau củ, rau nêm",Bạc hà cây (dọc mùng) khay 200g,8500
"Rau củ, rau nêm",Me chua đóng gói sẵn (1 vắt),8000
"Rau củ, rau nêm",Thơm ngọt gọt sẵn miếng 200g,7000
"Rau củ, rau nêm",Sả cây tươi túi 100g (3-5 cây),6100
"Rau củ, rau nêm",Rau hẹ lá non tươi xanh gói 50g,5000
"Rau củ, rau nêm",Nha đam (lô hội) tươi túi 200g,5000
"Nước ngọt, nước trà",6 lon nước All Free lúa mạch 330ml,35000
"Nước ngọt, nước trà",Nước có ga All Free lúa mạch 330ml,6000
"Nước ngọt, nước trà",24 lon All Free vị lúa mạch 330ml,140000
"Nước ngọt, nước trà",6 chai nước ngọt Mirinda cam 390ml,26000
"Nước ngọt, nước trà",6 chai nước trà đào FuzeTea 450ml,39000
"Nước ngọt, nước trà",6 chai trà chanh sả Fuze Tea 450ml,39000
"Nước ngọt, nước trà",24 chai trà đào Fuze Tea+ 450ml,146000
"Nước ngọt, nước trà",24 chai trà chanh sả FuzeTea 450ml,146000
"Nước ngọt, nước trà",6 chai nước ngọt Fanta xá xị 390ml,32000
"Nước ngọt, nước trà",6 chai nước Sprite chanh 390ml,32000
"Nước ngọt, nước trà",6 chai nước ngọt Coca Cola 390ml,32000
"Nước ngọt, nước trà",6 chai nước ngọt Fanta cam 390ml,32000
"Nước ngọt, nước trà",6 chai nước có ga Coca Zero 390ml,32000
"Nước ngọt, nước trà",Trà chanh dây chia FuzeTea 450ml,7300
"Nước ngọt, nước trà",Trà chanh với sả Fuze Tea 450ml,7300
"Nước ngọt, nước trà",24 lon nước tăng lực Warrior 325ml,192000
"Nước ngọt, nước trà",6 lon nước tăng lực Warrior 325ml,48000
"Nước ngọt, nước trà",6 lon nước tăng lực Muaythai 250ml,47000
"Nước ngọt, nước trà",6 chai trà ô long Tea Plus 455ml,57000
"Nước ngọt, nước trà",Nước tăng lực Muaythai lon 250ml,7900
"Nước ngọt, nước trà",Nước ngọt Fanta xá xị chai 390ml,6000
"Nước ngọt, nước trà",Nước có gas Mirinda đá me 390ml,6000
"Nước ngọt, nước trà",Nước ngọt Mirinda xá xị 390ml,6000
"Nước ngọt, nước trà",Nước ngọt Mirinda cam chai 390ml,6000
"Nước ngọt, nước trà",Nước ngọt có gas Sprite 390ml,6000
"Nước ngọt, nước trà",Nước ngọt có gas Coca Cola 390ml,6000
"Nước ngọt, nước trà",Nước ngọt có gas Coca Zero 390ml,6000
"Nước ngọt, nước trà",Nước ngọt Fanta vị cam chai 390ml,6000
"Nước ngọt, nước trà",Thùng 24 lon nước Muaythai 250ml,188000
"Nước ngọt, nước trà",6 chai nước Mirinda xá xị 390ml,34000
